Using TensorFlow backend.
episode: 0/100000 -> -117  	 slope: 0.000000	 epsilon: 1.000000
2019-04-13 16:22:44.784661: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-04-13 16:22:44.888321: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-13 16:22:44.888744: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.607
pciBusID: 0000:01:00.0
totalMemory: 10.91GiB freeMemory: 10.70GiB
2019-04-13 16:22:44.888754: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-13 16:22:45.152422: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-13 16:22:45.152448: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-13 16:22:45.152453: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-13 16:22:45.152705: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10346 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
checkpoint
episode: 1/100000 -> -118  	 slope: -58.659419	 epsilon: 1.000000
episode: 2/100000 -> -3  	 slope: -47.411610	 epsilon: 1.000000
episode: 3/100000 -> -6  	 slope: -12.506860	 epsilon: 1.000000
episode: 4/100000 -> -105  	 slope: -1.194005	 epsilon: 1.000000
episode: 5/100000 -> -113  	 slope: -7.695328	 epsilon: 1.000000
episode: 6/100000 -> -3  	 slope: -10.391300	 epsilon: 1.000000
episode: 7/100000 -> -94  	 slope: -3.636701	 epsilon: 1.000000
episode: 8/100000 -> -110  	 slope: -4.946187	 epsilon: 1.000000
episode: 9/100000 -> 4  	 slope: -6.165069	 epsilon: 1.000000
episode: 10/100000 -> 1  	 slope: -2.234559	 epsilon: 1.000000
episode: 11/100000 -> -2  	 slope: 0.135472	 epsilon: 1.000000
episode: 12/100000 -> -97  	 slope: 1.512788	 epsilon: 1.000000
episode: 13/100000 -> -117  	 slope: -0.021465	 epsilon: 1.000000
episode: 14/100000 -> -111  	 slope: -1.487332	 epsilon: 1.000000
episode: 15/100000 -> -96  	 slope: -2.338253	 epsilon: 1.000000
episode: 16/100000 -> 3  	 slope: -2.630511	 epsilon: 1.000000
episode: 17/100000 -> -8  	 slope: -1.215133	 epsilon: 1.000000
episode: 18/100000 -> -99  	 slope: -0.345918	 epsilon: 1.000000
episode: 19/100000 -> -114  	 slope: -0.877374	 epsilon: 1.000000
episode: 20/100000 -> -108  	 slope: -1.447696	 epsilon: 1.000000
episode: 21/100000 -> 1  	 slope: -1.795366	 epsilon: 1.000000
episode: 22/100000 -> -10  	 slope: -0.948253	 epsilon: 1.000000
episode: 23/100000 -> -116  	 slope: -0.386014	 epsilon: 1.000000
episode: 24/100000 -> -116  	 slope: -0.847580	 epsilon: 1.000000
episode: 25/100000 -> -102  	 slope: -1.209549	 epsilon: 1.000000
episode: 26/100000 -> -97  	 slope: -1.391097	 epsilon: 1.000000
episode: 27/100000 -> -108  	 slope: -1.489402	 epsilon: 1.000000
episode: 28/100000 -> -2  	 slope: -1.631820	 epsilon: 1.000000
episode: 29/100000 -> -114  	 slope: -1.096543	 epsilon: 1.000000
episode: 30/100000 -> -12  	 slope: -1.288375	 epsilon: 1.000000
episode: 31/100000 -> -98  	 slope: -0.894854	 epsilon: 1.000000
episode: 32/100000 -> -97  	 slope: -0.995334	 epsilon: 1.000000
episode: 33/100000 -> 2  	 slope: -1.066454	 epsilon: 1.000000
episode: 34/100000 -> -8  	 slope: -0.671223	 epsilon: 1.000000
episode: 35/100000 -> -98  	 slope: -0.383975	 epsilon: 1.000000
episode: 36/100000 -> -109  	 slope: -0.499762	 epsilon: 1.000000
episode: 37/100000 -> -110  	 slope: -0.641668	 epsilon: 1.000000
episode: 38/100000 -> 1  	 slope: -0.764213	 epsilon: 1.000000
episode: 39/100000 -> -116  	 slope: -0.477407	 epsilon: 1.000000
episode: 40/100000 -> -1  	 slope: -0.620336	 epsilon: 1.000000
episode: 41/100000 -> -107  	 slope: -0.375898	 epsilon: 1.000000
episode: 42/100000 -> -96  	 slope: -0.484499	 epsilon: 1.000000
episode: 43/100000 -> -94  	 slope: -0.544796	 epsilon: 1.000000
episode: 44/100000 -> -1  	 slope: -0.592243	 epsilon: 1.000000
episode: 45/100000 -> -2  	 slope: -0.384063	 epsilon: 1.000000
episode: 46/100000 -> -6  	 slope: -0.202682	 epsilon: 1.000000
episode: 47/100000 -> -120  	 slope: -0.051566	 epsilon: 1.000000
